Nodes: 20
Node0:	(0.40571332606579, 0.31268847201850)	19 neighbours: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node1:	(0.39516141844241, 0.50484602193410)	19 neighbours: 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node2:	(0.40137860528704, 0.33320948175399)	19 neighbours: 0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node3:	(0.38788306876915, 0.55782418709117)	19 neighbours: 0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node4:	(0.29080348170910, 0.35210665181154)	19 neighbours: 0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node5:	(0.52223235012282, 0.60307447092577)	19 neighbours: 0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node6:	(0.38547911144805, 0.77155885355236)	19 neighbours: 0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 
Node7:	(0.09096725227582, 0.39576079695879)	19 neighbours: 0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 
Node8:	(0.22368539733207, 0.38392443554452)	19 neighbours: 0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 
Node9:	(0.28498226019990, 0.72494205588049)	19 neighbours: 0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 
Node10:	(0.24401209526482, 0.43265129406711)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
Node11:	(0.32281755633376, 0.20200612335445)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 
Node12:	(0.71124983387713, 0.02801024954567)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 
Node13:	(0.30534556449990, 0.33436396446544)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 
Node14:	(0.11205456864138, 0.31126120235854)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 
Node15:	(0.86851663281492, 0.62216179584547)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 
Node16:	(0.26690942823426, 0.44708173564507)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 
Node17:	(0.70818778428688, 0.77537686336045)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 
Node18:	(0.29775874610783, 0.87530469695373)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 
Node19:	(0.03661743298799, 0.61466525095674)	19 neighbours: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 

Cost: 70.664239

Edges: 190
Edge1:	0 <--> 1	weight = 0.19244705000000	prob = 0.00000001868787
Edge41:	2 <--> 6	weight = 0.43863760000000	prob = 0.00000000000000
Edge42:	2 <--> 7	weight = 0.31665102000000	prob = 0.00000000000000
Edge43:	2 <--> 8	weight = 0.18478875000000	prob = 0.00000000000000
Edge44:	2 <--> 9	weight = 0.40865943000000	prob = 0.00000000000000
Edge45:	2 <--> 10	weight = 0.18615288000000	prob = 0.00000000000000
Edge46:	2 <--> 11	weight = 0.15292534000000	prob = 0.00001609655700
Edge47:	2 <--> 12	weight = 0.43493304000000	prob = 0.00000000000000
Edge48:	2 <--> 13	weight = 0.09603998000000	prob = 0.00681618370000
Edge49:	2 <--> 14	weight = 0.29015535000000	prob = 0.00000000000000
Edge50:	2 <--> 15	weight = 0.54928260000000	prob = 0.00000000000000
Edge51:	2 <--> 16	weight = 0.17620684000000	prob = 0.00000011715808
Edge52:	2 <--> 17	weight = 0.53818570000000	prob = 0.00000000000000
Edge53:	2 <--> 18	weight = 0.55190970000000	prob = 0.00000000000000
Edge54:	2 <--> 19	weight = 0.46072558000000	prob = 0.00000000000000
Edge55:	3 <--> 4	weight = 0.22747341000000	prob = 0.00000000000000
Edge56:	3 <--> 5	weight = 0.14176501000000	prob = 0.99878760000000
Edge57:	3 <--> 6	weight = 0.21374819000000	prob = 0.00000000000000
Edge58:	3 <--> 7	weight = 0.33826550000000	prob = 0.00000000000000
Edge59:	3 <--> 8	weight = 0.23916939000000	prob = 0.00000000000000
Edge60:	3 <--> 9	weight = 0.19625738000000	prob = 0.00000000000000
Edge61:	3 <--> 10	weight = 0.19070162000000	prob = 0.00000000000000
Edge62:	3 <--> 11	weight = 0.36171815000000	prob = 0.00000000000000
Edge63:	3 <--> 12	weight = 0.62070030000000	prob = 0.00000000000000
Edge64:	3 <--> 13	weight = 0.23821610000000	prob = 0.00000000000000
Edge65:	3 <--> 14	weight = 0.36996576000000	prob = 0.00000000000000
Edge66:	3 <--> 15	weight = 0.48492056000000	prob = 0.00000000000000
Edge67:	3 <--> 16	weight = 0.16400766000000	prob = 0.00000000000000
Edge68:	3 <--> 17	weight = 0.38720056000000	prob = 0.00000000000000
Edge69:	3 <--> 18	weight = 0.33002466000000	prob = 0.00000000000000
Edge70:	3 <--> 19	weight = 0.35583487000000	prob = 0.00000000000000
Edge71:	4 <--> 5	weight = 0.34138566000000	prob = 0.00000000000000
Edge72:	4 <--> 6	weight = 0.43000420000000	prob = 0.00000000000000
Edge73:	4 <--> 7	weight = 0.20454878000000	prob = 0.00000000000000
Edge74:	4 <--> 8	weight = 0.07427791500000	prob = 0.51085776000000
Edge75:	4 <--> 9	weight = 0.37288085000000	prob = 0.00000000000000
Edge76:	4 <--> 10	weight = 0.09314974000000	prob = 0.02468014000000
Edge77:	4 <--> 11	weight = 0.15347661000000	prob = 0.00000088202904
Edge78:	4 <--> 12	weight = 0.53086120000000	prob = 0.00000000000000
Edge79:	4 <--> 13	weight = 0.02294068800000	prob = 0.99999440000000
Edge80:	4 <--> 14	weight = 0.18335629000000	prob = 0.00000008074866
Edge81:	4 <--> 15	weight = 0.63771650000000	prob = 0.00000000000000
Edge82:	4 <--> 16	weight = 0.09793463000000	prob = 0.99703180000000
Edge83:	4 <--> 17	weight = 0.59444710000000	prob = 0.00000000000000
Edge84:	4 <--> 18	weight = 0.52324426000000	prob = 0.00000000000000
Edge85:	4 <--> 19	weight = 0.36544160000000	prob = 0.00000000000000
Edge86:	5 <--> 6	weight = 0.21699870000000	prob = 0.47313997000000
Edge87:	5 <--> 7	weight = 0.47850657000000	prob = 0.00000000000000
Edge88:	5 <--> 8	weight = 0.37034717000000	prob = 0.00000000000000
Edge89:	5 <--> 9	weight = 0.26671955000000	prob = 0.00000000000000
Edge90:	5 <--> 10	weight = 0.32626763000000	prob = 0.00000000000000
Edge91:	5 <--> 11	weight = 0.44790855000000	prob = 0.00000000000000
Edge92:	5 <--> 12	weight = 0.60533170000000	prob = 0.00000000000000
Edge93:	5 <--> 13	weight = 0.34531900000000	prob = 0.00000000000000
Edge94:	5 <--> 14	weight = 0.50338930000000	prob = 0.00000000000000
Edge95:	5 <--> 15	weight = 0.34680992000000	prob = 0.12336201000000
Edge96:	5 <--> 16	weight = 0.29920483000000	prob = 0.00000000000000
Edge97:	5 <--> 17	weight = 0.25351042000000	prob = 0.99947460000000
Edge98:	5 <--> 18	weight = 0.35284230000000	prob = 0.00000000000000
Edge99:	5 <--> 19	weight = 0.48575320000000	prob = 0.00000000000000
Edge100:	6 <--> 7	weight = 0.47745305000000	prob = 0.00000000000000
Edge101:	6 <--> 8	weight = 0.42004480000000	prob = 0.00000000000000
Edge102:	6 <--> 9	weight = 0.11078241500000	prob = 0.00000000214560
Edge103:	6 <--> 10	weight = 0.36724820000000	prob = 0.00000000000000
Edge104:	6 <--> 11	weight = 0.57298934000000	prob = 0.00000000000000
Edge105:	6 <--> 12	weight = 0.81178266000000	prob = 0.00000000000000
Edge106:	6 <--> 13	weight = 0.44447806000000	prob = 0.00000000000000
Edge107:	6 <--> 14	weight = 0.53538290000000	prob = 0.00000000000000
Edge108:	6 <--> 15	weight = 0.50561320000000	prob = 0.00000000000000
Edge109:	6 <--> 16	weight = 0.34546226000000	prob = 0.00000000000000
Edge110:	6 <--> 17	weight = 0.32273126000000	prob = 0.66668415000000
Edge111:	6 <--> 18	weight = 0.13586046000000	prob = 1.00000000000000
Edge112:	6 <--> 19	weight = 0.38251808000000	prob = 0.00000000000000
Edge113:	7 <--> 8	weight = 0.13324490000000	prob = 0.00000000000047
Edge114:	7 <--> 9	weight = 0.38210225000000	prob = 0.00000000000000
Edge115:	7 <--> 10	weight = 0.15742819000000	prob = 0.00000000000000
Edge116:	7 <--> 11	weight = 0.30215135000000	prob = 0.00000000000000
Edge117:	7 <--> 12	weight = 0.72110397000000	prob = 0.00000000000000
Edge118:	7 <--> 13	weight = 0.22299694000000	prob = 0.00000000000000
Edge119:	7 <--> 14	weight = 0.08709108000000	prob = 1.00000000000000
Edge120:	7 <--> 15	weight = 0.80983980000000	prob = 0.00000000000000
Edge121:	7 <--> 16	weight = 0.18327436000000	prob = 0.00000000000000
Edge122:	7 <--> 17	weight = 0.72461680000000	prob = 0.00000000000000
Edge123:	7 <--> 18	weight = 0.52223086000000	prob = 0.00000000000000
Edge124:	7 <--> 19	weight = 0.22555058000000	prob = 1.00000000000000
Edge125:	8 <--> 9	weight = 0.34648278000000	prob = 0.00000000000000
Edge126:	8 <--> 10	weight = 0.05279660200000	prob = 0.99565940000000
Edge127:	8 <--> 11	weight = 0.20717494000000	prob = 0.00000000000000
Edge128:	8 <--> 12	weight = 0.60365057000000	prob = 0.00000000000000
Edge129:	8 <--> 13	weight = 0.09552289500000	prob = 0.00000000186239
Edge130:	8 <--> 14	weight = 0.13319680000000	prob = 0.99978820000000
Edge131:	8 <--> 15	weight = 0.68743320000000	prob = 0.00000000000000
Edge132:	8 <--> 16	weight = 0.07653209600000	prob = 0.00000000005646
Edge133:	8 <--> 17	weight = 0.62287843000000	prob = 0.00000000000000
Edge134:	8 <--> 18	weight = 0.49693200000000	prob = 0.00000000000000
Edge135:	8 <--> 19	weight = 0.29704502000000	prob = 0.00000000000000
Edge136:	9 <--> 10	weight = 0.29514816000000	prob = 0.00000000000000
Edge137:	9 <--> 11	weight = 0.52430284000000	prob = 0.00000000000000
Edge138:	9 <--> 12	weight = 0.81695650000000	prob = 0.00000000000000
Edge139:	9 <--> 13	weight = 0.39110857000000	prob = 0.00000000000000
Edge140:	9 <--> 14	weight = 0.44837020000000	prob = 0.00000000000000
Edge141:	9 <--> 15	weight = 0.59251680000000	prob = 0.00000000000000
Edge142:	9 <--> 16	weight = 0.27844745000000	prob = 0.00000000000000
Edge143:	9 <--> 17	weight = 0.42620018000000	prob = 0.00000000000000
Edge144:	9 <--> 18	weight = 0.15090448000000	prob = 1.00000000000000
Edge145:	9 <--> 19	weight = 0.27174630000000	prob = 1.00000000000000
Edge146:	10 <--> 11	weight = 0.24373654000000	prob = 0.00000000000000
Edge147:	10 <--> 12	weight = 0.61809826000000	prob = 0.00000000000000
Edge148:	10 <--> 13	weight = 0.11585419000000	prob = 0.00000000000000
Edge149:	10 <--> 14	weight = 0.17929960000000	prob = 0.00000000000000
Edge150:	10 <--> 15	weight = 0.65262556000000	prob = 0.00000000000000
Edge151:	10 <--> 16	weight = 0.02706520800000	prob = 0.99999890000000
Edge152:	10 <--> 17	weight = 0.57699210000000	prob = 0.00000000000000
Edge153:	10 <--> 18	weight = 0.44590440000000	prob = 0.00000000000000
Edge154:	10 <--> 19	weight = 0.27593774000000	prob = 0.00000000000000
Edge155:	11 <--> 12	weight = 0.42562214000000	prob = 0.99993455000000
Edge156:	11 <--> 13	weight = 0.13350606000000	prob = 0.99999200000000
Edge157:	11 <--> 14	weight = 0.23739779000000	prob = 0.00037091837000
Edge158:	11 <--> 15	weight = 0.68870770000000	prob = 0.00000000000000
Edge159:	11 <--> 16	weight = 0.25137177000000	prob = 0.00000000000000
Edge160:	11 <--> 17	weight = 0.69084310000000	prob = 0.00000000000000
Edge161:	11 <--> 18	weight = 0.67376470000000	prob = 0.00000000000000
Edge162:	11 <--> 19	weight = 0.50219330000000	prob = 0.00000000000000
Edge163:	12 <--> 13	weight = 0.50853795000000	prob = 0.00000000000000
Edge164:	12 <--> 14	weight = 0.66277150000000	prob = 0.00000000000000
Edge165:	12 <--> 15	weight = 0.61461280000000	prob = 0.99999917000000
Edge166:	12 <--> 16	weight = 0.61078580000000	prob = 0.00000000000000
Edge167:	12 <--> 17	weight = 0.74737287000000	prob = 0.00000000000000
Edge168:	12 <--> 18	weight = 0.94280577000000	prob = 0.00000000000000
Edge169:	12 <--> 19	weight = 0.89403190000000	prob = 0.00000000000000
Edge170:	13 <--> 14	weight = 0.19466676000000	prob = 0.00000000000000
Edge171:	13 <--> 15	weight = 0.63244700000000	prob = 0.00000000000000
Edge172:	13 <--> 16	weight = 0.11909085500000	prob = 0.00000000054772
Edge173:	13 <--> 17	weight = 0.59730583000000	prob = 0.00000000000000
Edge174:	13 <--> 18	weight = 0.54099390000000	prob = 0.00000000000000
Edge175:	13 <--> 19	weight = 0.38830867000000	prob = 0.00000000000000
Edge176:	14 <--> 15	weight = 0.81785940000000	prob = 0.00000000000000
Edge177:	14 <--> 16	weight = 0.20597875000000	prob = 0.00000000000000
Edge178:	14 <--> 17	weight = 0.75549860000000	prob = 0.00000000000000
Edge179:	14 <--> 18	weight = 0.59382750000000	prob = 0.00000000000000
Edge180:	14 <--> 19	weight = 0.31264162000000	prob = 0.00000000000000
Edge181:	15 <--> 16	weight = 0.62656546000000	prob = 0.00000000000000
Edge182:	15 <--> 17	weight = 0.22176608000000	prob = 1.00000000000000
Edge183:	15 <--> 18	weight = 0.62437640000000	prob = 0.00000000000000
Edge184:	15 <--> 19	weight = 0.83193296000000	prob = 0.00000000000000
Edge185:	16 <--> 17	weight = 0.55000390000000	prob = 0.00000000000000
Edge186:	16 <--> 18	weight = 0.42933273000000	prob = 0.00000000000000
Edge187:	16 <--> 19	weight = 0.28481334000000	prob = 0.00000000000000
Edge188:	17 <--> 18	weight = 0.42241870000000	prob = 0.00000000000000
Edge189:	17 <--> 19	weight = 0.69053240000000	prob = 0.00000000000000
Edge190:	18 <--> 19	weight = 0.36895490000000	prob = 0.00000010262246
Optimal tour found with candidate node = 12, elapsed time = 0.003443s and interrupted = FALSE

MST solved with: Prim algorithm

GHOSH_UB = 5.679613, SUBPROBLEM_UB = 0.005680
B-&-B tree with generated BBNodes = 1,  explored BBNodes = 1 and max tree level = 0

Number of fixed edges = 0

SUBPROBLEM with cost = 3.403730, type = CLOSED_SUBGRADIENT, level of the BB tree = 1, prob_tour = 0.826866, BBNode number = 1 and time to obtain = 0.000471s, edge to branch = -1

Cycle with 20 edges: 12 <-> 11,  11 <-> 0,  0 <-> 2,  2 <-> 13,  13 <-> 4,  4 <-> 16,  16 <-> 10,  10 <-> 8,  8 <-> 14,  14 <-> 7,  7 <-> 19,  19 <-> 9,  9 <-> 18,  18 <-> 6,  6 <-> 3,  3 <-> 1,  1 <-> 5,  5 <-> 17,  17 <-> 15,  15 <-> 12
0 Mandatory edges:
0 Forbidden edges:
Reconstructed cycle with 20 edges: 3 <-> 22,  22 <-> 17,  17 <-> 2,  2 <-> 13,  13 <-> 4,  4 <-> 19,  19 <-> 10,  10 <-> 8,  8 <-> 1,  1 <-> 7,  7 <-> 5,  5 <-> 9,  9 <-> 23,  23 <-> 6,  6 <-> 28,  28 <-> 29,  29 <-> 25,  25 <-> 0,  0 <-> 24,  24 <-> 3
Final cycle with 30 edges of 6.721013502946036 cost: 15 <-> 16,  16 <-> 14,  14 <-> 21,  21 <-> 3,  3 <-> 22,  22 <-> 17,  17 <-> 2,  2 <-> 13,  13 <-> 4,  4 <-> 19,  19 <-> 10,  10 <-> 8,  8 <-> 1,  1 <-> 7,  7 <-> 26,  26 <-> 5,  5 <-> 9,  9 <-> 12,  12 <-> 23,  23 <-> 6,  6 <-> 28,  28 <-> 29,  29 <-> 25,  25 <-> 18,  18 <-> 27,  27 <-> 11,  11 <-> 20,  20 <-> 0,  0 <-> 24,  24 <-> 15

Nodes: 
	0 : 0.7081877842868761 0.7753768633604521
	1 : 0.11205456864138008 0.31126120235853894
	2 : 0.40137860528704405 0.33320948175399423
	3 : 0.7112498338771303 0.028010249545666888
	4 : 0.29080348170910253 0.352106651811539
	5 : 0.036617432987985366 0.6146652509567395
	6 : 0.3854791114480466 0.7715588535523561
	7 : 0.09096725227582081 0.39576079695879374
	8 : 0.22368539733207105 0.3839244355445236
	9 : 0.28498226019990125 0.7249420558804908
	10 : 0.2440120952648207 0.4326512940671069
	11 : 0.9672985274455423 0.4677331791817726
	12 : 0.30437438790281734 0.9858006338904329
	13 : 0.30534556449990025 0.33436396446543537
	14 : 0.47077521691898305 0.010265495787836976
	15 : 0.8241320929928656 0.09016755252246056
	16 : 0.9905248039303258 0.042324719811696276
	17 : 0.4057133260657927 0.3126884720184965
	18 : 0.9055254843722809 0.7742129748005148
	19 : 0.26690942823426445 0.44708173564506914
	20 : 0.7702494265568847 0.45556368644475786
	21 : 0.5250309070098071 0.12107266695976426
	22 : 0.32281755633375797 0.20200612335445156
	23 : 0.2977587461078274 0.8753046969537331
	24 : 0.8685166328149202 0.6221617958454729
	25 : 0.5222323501228191 0.6030744709257735
	26 : 0.06106508928337351 0.8837229379207063
	27 : 0.6013206857544723 0.9275176439774366
	28 : 0.38788306876914613 0.5578241870911725
	29 : 0.39516141844241426 0.5048460219340989

Time taken: 1.859652042388916s
